Course Name,Acronym,Unique ID,Pre-requisite (Mandatory),Pre-requisite (Desirable)
Abstract Algebra I,AA I,MTH212,None,MTH100 
Abstract Algebra II,AA II,MTH512,"MTH100, MTH212",None
Advanced Embedded Logic Design-1,AELD,ECE573,None,None
Advanced Linear Algebra,ALA,MTH510,MTH100,None
Advanced Machine Learning,AML,CSE642,"MTH201, CSE343/CSE543",None
Advanced Programming,AP,CSE201,"CSE101,CSE102",None
Affective Computing,AFC,CSE5xx,"CSE101, CSE102, CSE201, CSE343/CSE543","CSE643"
Algorithm Design and Analysis,ADA,CSE222,CSE102,None
Algorithms in Computational Biology,ACB,BIO522,None,None
Analog CMOS Circuit Design,ACCD,ECE315/ECE515,ECE213,None
Animation and Graphics,AnG,DES302,None,None
Applied Ethics,AE,SSH321,None,None
